% Maximum interations number and minimum erro to stop loop.
100 , 0.0000001
% Vector indicating which bar is a swing or slack bar.
1 , 0 
% Initial pu voltage values
1 , 1 
% Active (real part) and reactive (imaginary part) power generated by each bar
1 , 0 
% Power consumprion (are negativated by program)Consumo de potência por barra (São negativadas pelo programa já que as correntes .
% são de saída)
0 , 1+0.5i
% Inductive or capacitive bar shunt value.
Inf , 1/-0.25i
% Z impedance array 
% Consider zero a bar impedance to each self
% and Infinit (Inf) impedance between non connected bars.
0          , 0.02+0.06i
0.02+0.06i  , 0 
%  Comments after the Z array are ignored.
